Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
91,Eastern Michigan,MAC,4,8,.333,3,5,.375,24.1,29.8,-12.75,-7.08,,,,
92,Bowling Green,MAC,4,8,.333,2,6,.250,20.5,24.3,-11.88,-7.04,,,,
93,Northern Illinois,MAC,3,9,.250,2,6,.250,17.1,24.3,-13.96,-6.80,,,,
94,Massachusetts,MAC,0,12,.000,0,8,.000,11.1,38.6,-26.27,-5.60,,,,
95,Boise State,MWC,9,5,.643,6,2,.750,29.9,24.1,4.29,-0.50,,25,25,
96,Nevada-Las Vegas,MWC,10,3,.769,6,2,.750,35.9,28.8,1.00,-5.93,,,,
97,New Mexico,MWC,9,3,.750,6,2,.750,27.9,22.5,1.63,-4.71,,,,
98,San Diego State,MWC,9,3,.750,6,2,.750,24.7,12.6,3.74,-6.09,,,,
99,Fresno State,MWC,8,4,.667,5,3,.625,26.4,20.1,-1.43,-6.18,,,,
100,Hawaii,MWC,8,4,.667,5,3,.625,28.5,23.5,-0.27,-5.69,,,,
101,Utah State,MWC,6,6,.500,4,4,.500,31.8,28.3,-1.78,-2.11,,,,
102,Air Force,MWC,4,8,.333,3,5,.375,29.8,30.3,-5.98,-3.81,,,,
103,Wyoming,MWC,4,8,.333,2,6,.250,16.0,20.5,-9.78,-4.61,,,,
104,Nevada,MWC,3,9,.250,2,6,.250,17.6,27.5,-13.21,-3.63,,,,
105,San Jose State,MWC,3,9,.250,2,6,.250,21.4,32.5,-12.68,-3.43,,,,
106,Colorado State,MWC,2,10,.167,1,7,.125,18.5,30.8,-12.46,-0.54,,,,
107,Georgia,SEC,12,1,.923,7,1,.875,31.9,15.9,18.45,3.99,2,5,2,
108,Ole Miss,SEC,11,1,.917,7,1,.875,37.3,20.1,15.29,3.21,6,21,4,
109,Texas A&M,SEC,11,1,.917,7,1,.875,36.3,21.9,18.54,4.71,7,19,3,
110,Alabama,SEC,10,3,.769,7,1,.875,31.2,17.4,14.27,6.43,11,8,4,
111,Oklahoma,SEC,10,2,.833,6,2,.750,26.4,13.9,14.63,4.97,8,18,5,
112,Vanderbilt,SEC,10,2,.833,6,2,.750,39.4,21.9,15.98,2.73,13,,9,
113,Texas,SEC,9,3,.750,6,2,.750,29.6,19.8,12.27,4.85,14,1,1,
114,Missouri,SEC,8,4,.667,4,4,.500,32.2,19.4,10.30,2.89,25,,14,
115,Tennessee,SEC,8,4,.667,4,4,.500,40.8,28.8,10.28,2.37,,24,11,
116,LSU,SEC,7,5,.583,3,5,.375,21.8,18.3,8.15,6.07,,9,3,
117,Kentucky,SEC,5,7,.417,2,6,.250,23.0,26.4,2.54,5.87,,,,
118,Florida,SEC,4,8,.333,2,6,.250,21.6,24.0,4.29,8.95,,15,13,
119,Auburn,SEC,5,7,.417,1,7,.125,26.8,20.7,7.69,4.78,,,22,
120,Mississippi State,SEC,5,7,.417,1,7,.125,30.5,29.2,3.31,5.39,,,,
121,South Carolina,SEC,4,8,.333,1,7,.125,22.7,22.1,4.61,6.52,,13,10,
122,Arkansas,SEC,2,10,.167,0,8,.000,32.9,33.8,2.89,7.56,,,,
123,James Madison,Sun Belt (East),12,1,.923,8,0,1.000,37.3,15.8,11.33,-4.14,19,,19,
124,Old Dominion,Sun Belt (East),9,3,.750,6,2,.750,32.7,19.3,5.51,-4.16,,,,
125,Coastal Carolina,Sun Belt (East),6,6,.500,5,3,.625,22.8,33.9,-6.48,-2.89,,,,
126,Georgia Southern,Sun Belt (East),6,6,.500,4,4,.500,27.8,34.2,-6.30,-2.64,,,,
127,Marshall,Sun Belt (East),5,7,.417,3,5,.375,30.8,30.3,-3.63,-3.63,,,,
128,Appalachian State,Sun Belt (East),5,7,.417,2,6,.250,25.3,29.8,-7.71,-5.38,,,,
129,Georgia State,Sun Belt (East),1,11,.083,0,8,.000,19.8,37.8,-13.35,-0.02,,,,
130,Troy,Sun Belt (West),8,6,.571,6,2,.750,23.5,23.9,-3.49,-3.71,,,,
131,Southern Mississippi,Sun Belt (West),7,5,.583,5,3,.625,29.8,27.4,-3.42,-6.17,,,,
132,Arkansas State,Sun Belt (West),6,6,.500,5,3,.625,24.4,27.3,-4.91,-4.66,,,,
133,Louisiana,Sun Belt (West),6,6,.500,5,3,.625,27.1,30.0,-5.67,-4.75,,,,
134,Texas State,Sun Belt (West),6,6,.500,3,5,.375,36.1,30.6,-0.46,-4.46,,,,
135,South Alabama,Sun Belt (West),4,8,.333,3,5,.375,26.5,30.4,-8.62,-3.79,,,,
136,Louisiana-Monroe,Sun Belt (West),3,9,.250,1,7,.125,16.6,31.9,-14.11,-3.52,,,,
